"","D_KL","log.p.vals","T.counts"
"gene_68",0.0369515796872661,0,138
"gene_69",0.0459215148269215,0,100
"gene_70",0.0423645677349369,0,84
"gene_71",0.0367977676466877,0,133
"gene_72",0.0264317043347342,0,164
"gene_73",0.0748994850167733,0,67
"gene_74",0.114958894605663,0,71
"gene_75",0.0445341869626576,0,89
"gene_76",0.0442483413625108,0,90
"gene_77",0.0349362013707015,0,112
"gene_78",0.0294267662568598,0,107
"gene_79",0.0312047128707708,0,132
"gene_80",0.0986635275817353,0,78
"gene_81",0.035433156038417,0,112
"gene_82",0.0326236316367302,0,139
"gene_83",0.0507492389590028,0,57
"gene_84",0.0670834335898202,0,62
"gene_85",0.0487828883494635,0,78
"gene_86",0.027647683849065,0,151
"gene_87",0.0688797650995562,0,88
"gene_88",0.0960846696916886,0,72
"gene_89",0.0517757065015658,0,101
"gene_90",0.0249869420784826,0,131
"gene_91",0.0362076924350747,0,106
"gene_92",0.0412320752288825,0,149
"gene_93",0.0518789838516636,0,62
"gene_94",0.0555272495925127,0,88
"gene_95",0.0704686034936735,0,97
"gene_96",0.0393674832143441,0,126
"gene_97",0.0594511983301925,0,64
"gene_98",0.0464356027441214,0,109
"gene_99",0.0924399524558615,0,75
"gene_100",0.10119224029416,0,43
"gene_101",0.0860301360759621,0,80
"gene_102",0.0490159892687783,0,126
"gene_103",0.0218917166611946,0,119
"gene_104",0.0226844931925171,0,174
"gene_105",0.0296164961981989,0,192
"gene_106",0.0567071743562905,0,162
"gene_107",0.0455298977271972,0,147
"gene_108",0.0677520238240096,0,84
"gene_109",0.0499981696249659,0,92
"gene_110",0.0788863354346843,0,40
"gene_111",0.0497158971744967,0,86
"gene_112",0.0844653329036333,0,50
"gene_113",0.0721657253534603,0,72
"gene_114",0.0793807925577127,0,69
"gene_115",0.0536251800021988,0,131
"gene_116",0.04221862849724,0,128
"gene_117",0.043854732678022,0,121
"gene_118",0.0338914156630329,0,107
"gene_119",0.0653466766934026,0,85
"gene_120",0.0591820325748032,0,100
"gene_121",0.0324457588182749,0,122
"gene_122",0.0505462904214082,0,134
"gene_123",0.0338595796846825,0,126
"gene_124",0.0436602623535567,0,121
"gene_125",0.0473974230273429,0,94
"gene_126",0.0339310902764,0,132
"gene_127",0.0620008191073147,0,73
"gene_128",0.04158180739336,0,131
"gene_129",0.0606500336271628,0,79
"gene_130",0.0876362937436554,0,65
"gene_131",0.0469015294367729,0,144
"gene_132",0.0334100130230486,0,99
"gene_133",0.0412795412966166,0,143
"gene_134",0.0576296716446865,0,82
"gene_135",0.0428604987549316,0,126
"gene_136",0.0798600014479436,0,103
"gene_137",0.0445556962114268,0,110
"gene_138",0.0488379625993121,0,83
"gene_139",0.0619541470063782,0,112
"gene_140",0.0636809448603699,0,53
"gene_141",0.0474470738868559,0,116
"gene_142",0.171357564172699,0,34
"gene_143",0.0457049965275267,0,102
"gene_144",0.060611276650503,0,85
"gene_145",0.0692251871036933,0,85
"gene_146",0.0583929136474895,0,87
"gene_147",0.0326085373845093,0,126
"gene_148",0.0491617168507073,0,134
"gene_149",0.0372426444269381,0,130
"gene_150",0.0998840751508639,0,90
"gene_151",0.0494176397003126,0,104
"gene_152",0.0468042584943072,0,107
"gene_153",0.035632467865549,0,138
"gene_154",0.0452332516764654,0,86
"gene_155",0.0636106599918781,0,51
"gene_156",0.0218872172539603,0,172
"gene_157",0.0934286502934917,0,66
"gene_158",0.0662660069408371,0,76
"gene_159",0.056612251083007,0,103
"gene_160",0.0331037109906164,0,139
"gene_161",0.0464821335253434,0,74
"gene_162",0.0387637073861269,0,111
"gene_163",0.0332174419181332,0,155
"gene_164",0.0411994896482706,0,54
"gene_165",0.045774764557379,0,103
"gene_166",0.0336782229258528,0,130
"gene_167",0.0608370289583784,0,84
"gene_168",0.0365094370206313,0,134
"gene_169",0.0574463120588025,0,118
"gene_170",0.0655666556025416,0,85
"gene_171",0.0489148555416692,0,133
"gene_172",0.037759891433134,0,157
"gene_173",0.0892916073365432,0,74
"gene_174",0.0792997512499418,0,71
"gene_175",0.0706971132314755,0,75
"gene_176",0.0516435680481199,0,102
"gene_177",0.0473433240388087,0,107
"gene_178",0.0232490013780197,0,119
"gene_179",0.0311748452392401,0,140
"gene_180",0.0529664814637787,0,90
"gene_181",0.0456805550597909,0,100
"gene_182",0.048366484156654,0,138
"gene_183",0.0620019832157305,0,53
"gene_184",0.086227387201614,0,71
"gene_185",0.0459931153826282,0,85
"gene_186",0.0299229301980071,0,150
"gene_187",0.0343053936280522,0,113
"gene_188",0.0604397703043727,0,79
"gene_189",0.0354966338842768,0,112
"gene_190",0.0401834330995767,0,109
"gene_191",0.0297567541618333,0,124
"gene_192",0.0394541575463841,0,166
"gene_193",0.081775606226404,0,66
"gene_194",0.0514046620680987,0,72
"gene_195",0.0375200848888175,0,102
"gene_196",0.0423064284041784,0,117
"gene_197",0.0692805648224899,0,70
"gene_198",0.0465545003318827,0,108
"gene_199",0.030041496499397,0,91
"gene_200",0.0928156442400525,0,52
"gene_201",0.0559560525472521,0,86
"gene_202",0.0590405368310587,0,108
"gene_203",0.0479396642157618,0,123
"gene_204",0.0205684432724343,0,180
"gene_205",0.0374148737027447,0,196
"gene_206",0.0287241223687806,0,158
"gene_207",0.0259681473898245,0,159
"gene_208",0.0735452125804838,0,81
"gene_209",0.0538088468948565,0,91
"gene_210",0.0914864129895882,0,55
"gene_211",0.0605210821762094,0,87
"gene_212",0.128275328753947,0,50
"gene_213",0.0533069711023773,0,71
"gene_214",0.0661264897846268,0,80
"gene_215",0.0225320125077007,0,140
"gene_216",0.0338941623554679,0,128
"gene_217",0.0258995449910049,0,142
"gene_218",0.0358395811283279,0,109
"gene_219",0.0834074693566621,0,82
"gene_220",0.0550411013905593,0,90
"gene_221",0.0371673966998459,0,119
"gene_222",0.0300207631258724,0,125
"gene_223",0.0385259142153523,0,113
"gene_224",0.0515585707346323,0,114
"gene_225",0.0207730178826014,0,119
"gene_226",0.0369478910379816,0,145
"gene_227",0.0449748171834129,0,107
"gene_228",0.0454397243254762,0,106
"gene_229",0.0544563690602892,0,76
"gene_230",0.0859359726858281,0,63
"gene_231",0.023019939873238,0,153
"gene_232",0.0492670183552884,0,98
"gene_233",0.0331277047827416,0,126
"gene_234",0.0449386528342019,0,78
"gene_235",0.051704610480509,0,100
"gene_236",0.0474326600109973,0,108
"gene_237",0.0344993034908921,0,112
"gene_238",0.0452589183274743,0,83
"gene_239",0.062349522561689,0,103
"gene_240",0.101217013313759,0,45
"gene_241",0.0543278181287051,0,106
"gene_242",0.073571392640303,0,44
"gene_243",0.0642468573925807,0,105
"gene_244",0.079326461447835,0,94
"gene_245",0.0894718844531531,0,70
"gene_246",0.0511573396375205,0,109
"gene_247",0.0266482715714685,0,109
"gene_248",0.0271071215206502,0,140
"gene_249",0.031743394698043,0,149
"gene_250",0.0497004901290625,0,95
"gene_251",0.0303473301419663,0,89
"gene_252",0.046226936347129,0,116
"gene_253",0.0414529318801409,0,125
"gene_254",0.0430107226447632,0,104
"gene_255",0.0926827452141392,0,53
"gene_256",0.0407860717415043,0,169
"gene_257",0.0485265763531045,0,79
"gene_258",0.0609412786756063,0,75
"gene_259",0.0312756530675555,0,113
"gene_260",0.0204062039909781,0,153
"gene_261",0.0753499199036571,0,56
"gene_262",0.032981329644237,0,131
"gene_263",0.0345514588362131,0,156
"gene_264",0.0527394143862539,0,59
"gene_265",0.107625428472256,0,83
"gene_266",0.0472564917758612,0,146
"gene_267",0.0597824925148261,0,71
"gene_268",0.0336262289340106,0,146
"gene_269",0.0334694563537676,0,115
"gene_270",0.0963521958604951,0,79
"gene_271",0.0339408829682317,0,138
"gene_272",0.0350283190999218,0,158
"gene_273",0.0742017576190451,0,80
"gene_274",0.0558343696926385,0,75
"gene_275",0.0679063087204931,0,87
"gene_276",0.0575480208235774,0,105
"gene_277",0.0579075711774232,0,107
"gene_278",0.0365965437135533,0,126
"gene_279",0.0600800108373493,0,134
"gene_280",0.0904703223638015,0,84
"gene_281",0.054595282335209,0,112
"gene_282",0.032310956059778,0,149
"gene_283",0.110684233748831,0,58
"gene_284",0.135140916142749,0,41
"gene_285",0.062736293770456,0,76
"gene_286",0.023084099370033,0,134
"gene_287",0.0546494631150649,0,95
"gene_288",0.0493463307686674,0,65
"gene_289",0.0409691196618799,0,121
"gene_290",0.0552786931621269,0,83
"gene_291",0.0423431296928554,0,120
"gene_292",0.0299488489983141,0,146
"gene_293",0.0651060461265431,0,74
"gene_294",0.0803083448409774,0,73
"gene_295",0.053339217493406,0,80
"gene_296",0.0424785898131167,0,125
"gene_297",0.0654522753141158,0,64
"gene_298",0.0678493341552386,0,97
"gene_299",0.0609106561267048,0,88
"gene_300",0.116626263080769,0,58
"gene_301",0.0556952685480705,0,81
"gene_302",0.0326046644458282,0,120
"gene_303",0.0541612936966521,0,127
"gene_304",0.0551674607406185,0,164
"gene_305",0.019226155477943,0,187
"gene_306",0.0333398577733682,0,142
"gene_307",0.030780983791861,0,168
"gene_308",0.0488928056913322,0,87
"gene_309",0.0297942568939138,0,94
"gene_310",0.0653339019755024,0,70
"gene_311",0.0518941611047806,0,90
"gene_312",0.0787678664117793,0,55
"gene_313",0.105695327716884,0,81
"gene_314",0.0453036681487251,0,80
"gene_315",0.0747642701249983,0,135
"gene_316",0.0362650932210989,0,114
"gene_317",0.0401628007024555,0,126
"gene_318",0.0435065340196537,0,94
"gene_319",0.065301315796769,0,88
"gene_320",0.0610988271418864,0,90
"gene_321",0.0260842780380251,0,113
"gene_322",0.0426086424410283,0,112
"gene_323",0.0446785234353806,0,123
"gene_324",0.0591789192531618,0,99
"gene_325",0.0394057700302601,0,116
"gene_326",0.0387563707474631,0,120
"gene_327",0.0434592166139897,0,100
"gene_328",0.0479153651542633,0,117
"gene_329",0.0620187625449444,0,88
"gene_330",0.0755543924732301,0,64
"gene_331",0.0314631519551229,0,166
"gene_332",0.0824326278081002,0,91
"gene_333",0.0404664910594364,0,111
"gene_334",0.0494195286482937,0,74
"gene_335",0.0528254941555385,0,105
"gene_336",0.0375142288317187,0,93
"gene_337",0.0386259881151175,0,94
"gene_338",0.0673615923293635,0,70
"gene_339",0.0537693727017722,0,108
"gene_340",0.0785180289777608,0,48
"gene_341",0.0409868868772948,0,97
"gene_342",0.221935772825347,0,24
"gene_343",0.0678885417292735,0,99
"gene_344",0.0442838967957391,0,89
"gene_345",0.0999374626844849,0,66
"gene_346",0.0560792104645171,0,94
"gene_347",0.0465446472219409,0,120
"gene_348",0.0572616300398669,0,132
"gene_349",0.0383494291043234,0,133
"gene_350",0.0285455618483646,0,116
"gene_351",0.0427978597404675,0,92
"gene_352",0.0255941773709553,0,102
"gene_353",0.0488713741853931,0,143
"gene_354",0.0706311688897788,0,100
"gene_355",0.0884209056747897,0,48
"gene_356",0.0350244901105544,0,166
"gene_357",0.0689263065014946,0,77
"gene_358",0.0786852087616231,0,84
"gene_359",0.0406894356046967,0,105
"gene_360",0.032522256485028,0,143
"gene_361",0.097139309476139,0,57
"gene_362",0.0392186986437525,0,132
"gene_363",0.0317623402712022,0,146
"gene_364",0.0631831192539736,0,66
"gene_365",0.0437806272316751,0,104
"gene_366",0.0406258946046982,0,145
"gene_367",0.0517399183235263,0,80
"gene_368",0.0619275526088062,0,112
"gene_369",0.0343458474916428,0,130
"gene_370",0.0676743125669801,0,80
"gene_371",0.0421133050571568,0,132
"gene_372",0.0281184312291634,0,129
"gene_373",0.045412344809768,0,98
"gene_374",0.0740705799475695,0,68
"gene_375",0.0764639924578475,0,82
"gene_376",0.0539311165982479,0,101
"gene_377",0.0277104954211366,0,121
"gene_378",0.0344332238269249,0,129
"gene_379",0.0398380607667743,0,114
"gene_380",0.0464248309525925,0,90
"gene_381",0.0525860425966206,0,110
"gene_382",0.0421725324004086,0,146
"gene_383",0.0540902707379414,0,62
"gene_384",0.0654281216418171,0,59
"gene_385",0.10564154964857,0,76
"gene_386",0.0255578260479903,0,118
"gene_387",0.0451895192574072,0,102
"gene_388",0.0351586891797633,0,79
"gene_389",0.0296140285616636,0,95
"gene_390",0.064706410313833,0,92
"gene_391",0.0428200362594732,0,112
"gene_392",0.0276737380338272,0,151
"gene_393",0.0371959368894221,0,73
"gene_394",0.0569300773382736,0,84
"gene_395",0.0406588192607824,0,89
"gene_396",0.0463023846544227,0,122
"gene_397",0.0931178572227572,0,56
"gene_398",0.0523904344966991,0,103
"gene_399",0.0328826530496713,0,98
"gene_400",0.0992466713756698,0,61
"gene_401",0.0711761937637282,0,65
"gene_402",0.0367918291867959,0,122
"gene_403",0.0453505343966438,0,109
"gene_404",0.0365702272898225,0,170
"gene_405",0.0294849262431998,0,187
"gene_406",0.0335368125820877,0,156
"gene_407",0.022313881240096,0,175
"gene_408",0.0735113956182055,0,92
"gene_409",0.0503237128518524,0,87
"gene_410",0.068010835503181,0,53
"gene_411",0.0647249698911458,0,87
"gene_412",0.0985848643278977,0,52
"gene_413",0.0750220597520441,0,81
"gene_414",0.0825454105628941,0,78
"gene_415",0.029046762818053,0,116
"gene_416",0.0437874602315037,0,114
"gene_417",0.0468075122318635,0,135
"gene_418",0.04007233924244,0,94
"gene_419",0.0616762840437853,0,82
"gene_420",0.0611895745699326,0,93
"gene_421",0.0401964288919706,0,115
"gene_422",0.0315388322279199,0,130
"gene_423",0.0486222050168881,0,129
"gene_424",0.061233032837864,0,110
"gene_425",0.0770835742951073,0,105
"gene_426",0.0383795870711635,0,147
"gene_427",0.0597817691253028,0,93
"gene_428",0.0675016573640044,0,99
"gene_429",0.0642819977572608,0,94
"gene_430",0.0643843413328221,0,69
"gene_431",0.0355213166216865,0,153
"gene_432",0.0674603801933801,0,77
"gene_433",0.0215320942212305,0,128
"gene_434",0.0472639978124687,0,77
"gene_435",0.0559046361189392,0,94
"gene_436",0.049535955798308,0,103
"gene_437",0.0563187442654656,0,92
"gene_438",0.0581591506293094,0,79
"gene_439",0.0415598241460367,0,104
"gene_440",0.0909722884629695,0,43
"gene_441",0.0286898364798592,0,111
"gene_442",0.127555296656464,0,36
"gene_443",0.0490626590456426,0,107
"gene_444",0.0581183495509766,0,93
"gene_445",0.0653481070634717,0,86
"gene_446",0.0742863164883299,0,84
"gene_447",0.0529335047188759,0,133
"gene_448",0.0328297548673134,0,125
"gene_449",0.0355941861766074,0,126
"gene_450",0.0452244169902728,0,90
"gene_451",0.0669423565896885,0,95
"gene_452",0.0296838301366821,0,125
"gene_453",0.0280179635261491,0,164
"gene_454",0.0469433535325314,0,113
"gene_455",0.0841442675274296,0,55
"gene_456",0.0306814046201843,0,166
"gene_457",0.0680437411019756,0,72
"gene_458",0.0899800835487081,0,83
"gene_459",0.0540684180877993,0,102
"gene_460",0.0280075228691906,0,137
"gene_461",0.063619860000963,0,67
"gene_462",0.0342540669817034,0,126
"gene_463",0.0324556738509208,0,145
"gene_464",0.112807848687957,0,49
"gene_465",0.0564000906126935,0,103
"gene_466",0.0291123470525542,0,141
"gene_467",0.0611269460800736,0,72
"gene_468",0.0349221885208909,0,132
"gene_469",0.0458876532723937,0,118
"gene_470",0.0488531662644585,0,95
"gene_471",0.0376417717952154,0,135
"gene_472",0.0451607446707679,0,156
"gene_473",0.0420936462804619,0,85
"gene_474",0.104334205298211,0,68
"gene_475",0.048209116407801,0,88
"gene_476",0.067845746268121,0,100
"gene_477",0.0476155555963983,0,105
"gene_478",0.0394158267689138,0,105
"gene_479",0.0510875771018057,0,130
"gene_480",0.0562144759578505,0,89
"gene_481",0.0311719085145384,0,118
"gene_482",0.0239644186725904,0,158
"gene_483",0.0805440111514746,0,49
"gene_484",0.0629223797918219,0,55
"gene_485",0.0542814257411855,0,68
"gene_486",0.040600800734063,0,120
"gene_487",0.0429489405574471,0,89
"gene_488",0.0831620001826261,0,69
"gene_489",0.0624709374828236,0,96
"gene_490",0.0461877653540366,0,99
"gene_491",0.0343463179343762,0,120
"gene_492",0.0388843583471495,0,150
"gene_493",0.0516913198018468,0,67
"gene_494",0.0621021338434969,0,79
"gene_495",0.0581942675873477,0,96
"gene_496",0.04351869711364,0,114
"gene_497",0.071091657214481,0,54
"gene_498",0.0509206328546166,0,101
"gene_499",0.0737967998689584,0,92
"gene_500",0.107959637261511,0,53
